,AF,AFL,BBB,Brady,LBBB,RBBB,IdAVb,LAD,LAnFB,LPR,LQRSV,LQT,NSIVCB,NSR,PAC,PR,PRWP,PVC,QAb,RAD,SA,SB,ST,SVPB,TAb,TInv,VPB
AF,1.0,0.5,0.475,0.3,0.475,0.4,0.3,0.35,0.35,0.3,0.425,0.45,0.35,0.25,0.3375,0.375,0.425,0.375,0.4,0.35,0.3,0.3,0.375,0.3375,0.5,0.5,0.375
AFL,0.5,1.0,0.475,0.3,0.475,0.4,0.3,0.35,0.35,0.3,0.425,0.45,0.35,0.25,0.3375,0.375,0.425,0.375,0.4,0.35,0.3,0.3,0.375,0.3375,0.5,0.5,0.375
BBB,0.475,0.475,1.0,0.325,0.475,0.425,0.325,0.375,0.375,0.325,0.45,0.475,0.375,0.275,0.3625,0.4,0.45,0.4,0.375,0.375,0.325,0.325,0.4,0.3625,0.475,0.475,0.4
Brady,0.3,0.3,0.325,1.0,0.325,0.4,0.5,0.45,0.45,0.5,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,0.5,0.5,0.425,0.4625,0.3,0.3,0.425
LBBB,0.475,0.475,0.475,0.325,1.0,0.425,0.325,0.375,0.375,0.325,0.45,0.475,0.375,0.275,0.3625,0.4,0.45,0.4,0.375,0.375,0.325,0.325,0.4,0.3625,0.475,0.475,0.4
RBBB,0.4,0.4,0.425,0.4,0.425,1.0,0.4,0.45,0.45,0.4,0.475,0.45,0.45,0.35,0.4375,0.475,0.475,0.475,0.3,0.45,0.4,0.4,0.475,0.4375,0.4,0.4,0.475
IdAVb,0.3,0.3,0.325,0.5,0.325,0.4,1.0,0.45,0.45,0.5,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,0.5,0.5,0.425,0.4625,0.3,0.3,0.425
LAD,0.35,0.35,0.375,0.45,0.375,0.45,0.45,1.0,0.5,0.45,0.425,0.4,0.5,0.4,0.4875,0.475,0.425,0.475,0.25,0.5,0.45,0.45,0.475,0.4875,0.35,0.35,0.475
LAnFB,0.35,0.35,0.375,0.45,0.375,0.45,0.45,0.5,1.0,0.45,0.425,0.4,0.5,0.4,0.4875,0.475,0.425,0.475,0.25,0.5,0.45,0.45,0.475,0.4875,0.35,0.35,0.475
LPR,0.3,0.3,0.325,0.5,0.325,0.4,0.5,0.45,0.45,1.0,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,0.5,0.5,0.425,0.4625,0.3,0.3,0.425
LQRSV,0.425,0.425,0.45,0.375,0.45,0.475,0.375,0.425,0.425,0.375,1.0,0.475,0.425,0.325,0.4125,0.45,0.475,0.45,0.325,0.425,0.375,0.375,0.45,0.4125,0.425,0.425,0.45
LQT,0.45,0.45,0.475,0.35,0.475,0.45,0.35,0.4,0.4,0.35,0.475,1.0,0.4,0.3,0.3875,0.425,0.475,0.425,0.35,0.4,0.35,0.35,0.425,0.3875,0.45,0.45,0.425
NSIVCB,0.35,0.35,0.375,0.45,0.375,0.45,0.45,0.5,0.5,0.45,0.425,0.4,1.0,0.4,0.4875,0.475,0.425,0.475,0.25,0.5,0.45,0.45,0.475,0.4875,0.35,0.35,0.475
NSR,0.25,0.25,0.275,0.45,0.275,0.35,0.45,0.4,0.4,0.45,0.325,0.3,0.4,1.0,0.4125,0.375,0.325,0.375,0.15,0.4,0.45,0.45,0.375,0.4125,0.25,0.25,0.375
PAC,0.3375,0.3375,0.3625,0.4625,0.3625,0.4375,0.4625,0.4875,0.4875,0.4625,0.4125,0.3875,0.4875,0.4125,1.0,0.4625,0.4125,0.4625,0.2375,0.4875,0.4625,0.4625,0.4625,1.0,0.3375,0.3375,0.4625
PR,0.375,0.375,0.4,0.425,0.4,0.475,0.425,0.475,0.475,0.425,0.45,0.425,0.475,0.375,0.4625,1.0,0.45,0.5,0.275,0.475,0.425,0.425,0.5,0.4625,0.375,0.375,0.5
PRWP,0.425,0.425,0.45,0.375,0.45,0.475,0.375,0.425,0.425,0.375,0.475,0.475,0.425,0.325,0.4125,0.45,1.0,0.45,0.325,0.425,0.375,0.375,0.45,0.4125,0.425,0.425,0.45
PVC,0.375,0.375,0.4,0.425,0.4,0.475,0.425,0.475,0.475,0.425,0.45,0.425,0.475,0.375,0.4625,0.5,0.45,1.0,0.275,0.475,0.425,0.425,0.5,0.4625,0.375,0.375,1.0
QAb,0.4,0.4,0.375,0.2,0.375,0.3,0.2,0.25,0.25,0.2,0.325,0.35,0.25,0.15,0.2375,0.275,0.325,0.275,1.0,0.25,0.2,0.2,0.275,0.2375,0.4,0.4,0.275
RAD,0.35,0.35,0.375,0.45,0.375,0.45,0.45,0.5,0.5,0.45,0.425,0.4,0.5,0.4,0.4875,0.475,0.425,0.475,0.25,1.0,0.45,0.45,0.475,0.4875,0.35,0.35,0.475
SA,0.3,0.3,0.325,0.5,0.325,0.4,0.5,0.45,0.45,0.5,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,1.0,0.5,0.425,0.4625,0.3,0.3,0.425
SB,0.3,0.3,0.325,0.5,0.325,0.4,0.5,0.45,0.45,0.5,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,0.5,1.0,0.425,0.4625,0.3,0.3,0.425
ST,0.375,0.375,0.4,0.425,0.4,0.475,0.425,0.475,0.475,0.425,0.45,0.425,0.475,0.375,0.4625,0.5,0.45,0.5,0.275,0.475,0.425,0.425,1.0,0.4625,0.375,0.375,0.5
SVPB,0.3375,0.3375,0.3625,0.4625,0.3625,0.4375,0.4625,0.4875,0.4875,0.4625,0.4125,0.3875,0.4875,0.4125,1.0,0.4625,0.4125,0.4625,0.2375,0.4875,0.4625,0.4625,0.4625,1.0,0.3375,0.3375,0.4625
TAb,0.5,0.5,0.475,0.3,0.475,0.4,0.3,0.35,0.35,0.3,0.425,0.45,0.35,0.25,0.3375,0.375,0.425,0.375,0.4,0.35,0.3,0.3,0.375,0.3375,1.0,0.5,0.375
TInv,0.5,0.5,0.475,0.3,0.475,0.4,0.3,0.35,0.35,0.3,0.425,0.45,0.35,0.25,0.3375,0.375,0.425,0.375,0.4,0.35,0.3,0.3,0.375,0.3375,0.5,1.0,0.375
VPB,0.375,0.375,0.4,0.425,0.4,0.475,0.425,0.475,0.475,0.425,0.45,0.425,0.475,0.375,0.4625,0.5,0.45,1.0,0.275,0.475,0.425,0.425,0.5,0.4625,0.375,0.375,1.0
